Заболели;Умерли;Вылечились;Активные случаи;
США;44 455 949;714 055;0;_ 
Индия;33 985 920;450 963;0;33 534 957 
Бразилия;21 582 738;601 213;0;20 981 525 
Великобритания;8 205 741;137 863;0;_ 
Россия;7 832 964;218 345;6 894 285;720 334 
Турция;7 475 085;66 368;0;7 408 717 
Франция;6 905 651;114 995;0;_ 
Иран;5 716 394;122 868;0;5 593 526 
Аргентина;5 266 275;115 491;0;5 150 784 
Испания;4 977 448;86 827;0;_ 
Колумбия;4 973 325;126 655;0;4 846 670 
Италия;4 701 832;131 335;0;4 570 497 
Германия;4 323 346;94 308;0;4 229 038 
Индонезия;4 228 552;142 716;0;4 085 836 
Мексика;3 725 242;282 227;0;3 443 015 
Польша;2 923 304;75 869;0;2 847 435 
ЮАР;2 912 346;88 346;0;2 824 000 
Филиппины;2 674 814;39 660;0;2 635 154 
Украина;2 667 304;62 550;0;2 604 754 
Малайзия;2 346 303;27 422;0;2 318 881 
Перу;2 184 676;199 703;0;1 984 973 
Нидерланды;2 028 659;18 228;0;_ 
Ирак;2 024 705;22 591;0;2 002 114 
Таиланд;1 720 919;17 751;0;1 703 168 
Япония;1 712 127;17 972;0;1 694 155 
Чехия;1 700 078;30 504;0;1 669 574 
Канада;1 668 009;28 264;0;1 639 745 
Чили;1 663 383;37 571;0;1 625 812 
Бангладеш;1 562 958;27 699;0;1 535 259 
Румыния;1 365 788;39 629;0;1 326 159 
Израиль;1 307 870;7 940;0;1 299 930 
Бельгия;1 266 562;25 695;0;_ 
Пакистан;1 259 648;28 152;0;1 231 496 
Швеция;1 157 822;14 905;0;_ 
Португалия;1 075 639;18 048;0;1 057 591 
Сербия;1 010 868;8 788;0;_ 
Казахстан;984 398;16 473;0;967 925 
Марокко;939 356;14 474;0;924 882 
Куба;921 328;7 891;0;913 437 
Швейцария;850 684;11 133;0;839 551 
Вьетнам;843 281;20 670;0;822 611 
Иордания;834 778;10 818;0;823 960 
Венгрия;829 456;30 303;0;799 153 
Непал;802 861;11 243;0;791 618 
Австрия;762 538;11 106;0;751 432 
ОАЭ;737 890;2 114;0;735 776 
Тунис;709 866;25 039;0;684 827 
Греция;679 157;15 177;0;663 980 
Грузия;635 583;9 269;0;626 314 
Ливан;630 382;8 389;0;621 993 
Гватемала;579 774;14 066;0;565 708 
Белоруссия;559 715;4 304;0;555 411 
Саудовская Аравия;547 649;8 748;0;538 901 
Коста-Рика;546 595;6 698;0;539 897 
Шри-Ланка;527 064;13 354;0;513 710 
Болгария;524 333;21 813;0;502 520 
Эквадор;512 044;32 848;0;479 196 
Боливия;504 121;18 803;0;485 318 
Азербайджан;492 790;6 677;0;486 113 
Мьянма;479 848;18 162;0;461 686 
Панама;469 190;7 271;0;461 919 
Парагвай;460 218;16 207;0;444 011 
Палестинские территории;443 766;4 504;0;439 262 
Словакия;425 971;12 735;0;413 236 
Хорватия;418 028;8 778;0;409 250 
Кувейт;412 121;2 455;0;409 666 
Ирландия;404 514;5 280;0;399 234 
Уругвай;390 115;6 064;0;384 051 
Венесуэла;384 668;4 634;0;380 034 
Гондурас;370 262;10 009;0;360 253 
Доминиканская Республика;366 191;4 067;0;362 124 
Дания;364 464;2 671;0;361 793 
Эфиопия;355 001;6 026;0;348 975 
Литва;353 289;5 248;0;348 041 
Ливия;346 813;4 792;0;342 021 
Южная Корея;334 163;2 594;0;331 569 
Монголия;326 738;1 450;0;325 288 
Египет;313 259;17 726;0;295 533 
Молдова;307 182;7 048;0;300 134 
Оман;303 978;4 102;0;299 876 
Словения;301 644;4 617;0;297 027 
Бахрейн;275 734;1 390;0;274 344 
Армения;272 957;5 575;0;267 382 
Кения;251 248;5 190;0;246 058 
Босния и Герцеговина;241 227;10 965;0;230 262 
Катар;237 483;607;0;236 876 
Замбия;209 353;3 654;0;205 699 
Нигерия;207 978;2 756;0;205 222 
Алжир;204 695;5 855;0;198 840 
Северная Македония;195 002;6 849;0;188 153 
Норвегия;193 734;871;0;192 863 
Ботсвана;181 251;2 381;0;178 870 
Киргизия;179 338;2 620;0;176 718 
Узбекистан;178 637;1 271;0;177 366 
Албания;175 163;2 777;0;172 386 
Латвия;172 278;2 806;0;169 472 
Эстония;165 345;1 400;0;163 945 
Косово;160 400;2 972;0;157 428 
Афганистан;155 540;7 228;0;148 312 
Мозамбик;150 991;1 924;0;149 067 
Финляндия;147 297;1 100;0;146 197 
Черногория;135 533;1 992;0;133 541 
Зимбабве;131 875;4 643;0;127 232 
Австралия;131 415;1 461;0;129 954 
Сингапур;129 229;172;0;129 057 
Гана;128 368;1 158;0;127 210 
Намибия;128 129;3 527;0;124 602 
Уганда;124 736;3 177;0;121 559 
Кипр;121 364;560;0;120 804 
Камбоджа;115 068;2 527;0;112 541 
Китай;108 780;4 849;0;103 931 
Сальвадор;107 664;3 392;0;104 272 
Руанда;98 745;1 308;0;97 437 
Камерун;95 399;1 517;0;93 882 
Ямайка;86 384;2 025;0;84 359 
Мальдивы;85 622;234;0;85 388 
Люксембург;79 196;837;0;78 359 
Сенегал;73 841;1 868;0;71 973 
Малави;61 679;2 290;0;59 389 
Ангола;61 580;1 629;0;59 951 
Кот-д’Ивуар;60 829;669;0;60 160 
Конго - Киншаса;57 247;1 087;0;56 160 
Реюньон;53 963;369;0;53 594 
Гваделупа;53 544;785;0;52 759 
Тринидад и Тобаго;52 847;1 555;0;51 292 
Фиджи;51 535;653;0;50 882 
Эсватини;46 284;1 229;0;45 055 
Французская Полинезия;45 359;629;0;44 730 
Суринам;44 306;968;0;43 338 
Мадагаскар;43 610;960;0;42 650 
Французская Гвиана;42 157;281;0;41 876 
Мартиника;41 846;645;0;41 201 
Судан;38 827;2 953;0;35 874 
Кабо-Верде;37 902;346;0;37 556 
Мальта;37 358;459;0;36 899 
Сирия;37 229;2 348;0;34 881 
Мавритания;36 432;785;0;35 647 
Гайана;33 748;842;0;32 906 
Габон;32 576;205;0;32 371 
Гвинея;30 523;383;0;30 140 
Лаос;28 849;30;0;28 819 
Танзания;25 957;723;0;25 234 
Того;25 788;236;0;25 552 
Бенин;24 335;159;0;24 176 
Папуа — Новая Гвинея;23 026;245;0;22 781 
Гаити;22 614;643;0;21 971 
Белиз;22 187;427;0;21 760 
Сейшельские Острова;21 769;118;0;21 651 
Багамы;21 580;590;0;20 990 
Лесото;21 460;652;0;20 808 
Сомали;21 269;1 180;0;20 089 
Восточный Тимор;19 675;119;0;19 556 
Бурунди;19 257;38;0;19 219 
Таджикистан;17 484;125;0;17 359 
Кюрасао;16 804;168;0;16 636 
Тайвань;16 305;846;0;15 459 
Маврикий;16 291;110;0;16 181 
Аруба;15 645;170;0;15 475 
Мали;15 490;553;0;14 937 
Андорра;15 307;130;0;15 177 
Никарагуа;15 134;205;0;14 929 
Конго - Браззавиль;14 833;206;0;14 627 
Буркина-Фасо;14 516;195;0;14 321 
Джибути;13 229;177;0;13 052 
Экваториальная Гвинея;12 786;155;0;12 631 
Исландия;12 243;33;0;12 210 
Южный Судан;12 114;130;0;11 984 
Сент-Люсия;12 017;224;0;11 793 
ЦАР;11 401;100;0;11 301 
Барбадос;11 132;98;0;11 034 
Гамбия;9 941;339;0;9 602 
Йемен;9 402;1 782;0;7 620 
Новая Каледония;9 186;201;0;8 985 
Бруней-Даруссалам;9 167;64;0;9 103 
о-в Мэн;8 121;54;0;8 067 
Эритрея;6 755;43;0;6 712 
Сьерра-Леоне;6 396;121;0;6 275 
Гвинея-Бисау;6 119;141;0;5 978 
Нигер;6 115;204;0;5 911 
Либерия;5 801;286;0;5 515 
Гибралтар;5 655;97;0;5 558 
Гренада;5 653;183;0;5 470 
Бермудские о-ва;5 501;89;0;5 412 
Сан-Марино;5 470;91;0;5 379 
Чад;5 061;174;0;4 887 
Новая Зеландия;4 705;28;0;4 677 
Синт-Мартен;4 403;69;0;4 334 
Коморы;4 166;147;0;4 019 
Сент-Винсент и Гренадины;4 096;38;0;4 058 
Доминика;4 020;26;0;3 994 
Сен-Мартен;3 819;55;0;3 764 
Антигуа и Барбуда;3 750;93;0;3 657 
Сан-Томе и Принсипи;3 629;56;0;3 573 
Лихтенштейн;3 567;58;0;3 509 
Монако;3 336;35;0;3 301 
о-ва Тёркс и Кайкос;2 898;23;0;2 875 
Виргинские о-ва;2 725;37;0;2 688 
Бутан;2 613;3;0;2 610 
Сент-Китс и Невис;2 412;19;0;2 393 
Сен-Бартелеми;1 649;6;0;1 643 
Фарерские о-ва;1 301;2;0;1 299 
Острова Кайман;983;2;0;981 
Лайнер «Даймонд Принсесс»;712;13;0;699 
Гренландия;623;0;0;623 
Ангилья;594;1;0;593 
Фолклендские о-ва;68;0;0;68 
Монтсеррат;41;1;0;40 
Сен-Пьер и Микелон;32;0;0;32 
Ватикан;27;0;0;27 
Соломоновы Острова;20;0;0;20 
Палау;5;0;0;5 
Вануату;4;1;0;3 
Маршалловы Острова;4;0;0;4 
Самоа;3;0;0;3 
Кирибати;2;0;0;2 
Федеративные Штаты Микронезии;1;0;0;1 
Всего;238 417 612;4 862 243;6 894 285;226 661 084